Flex Sensor 1,Flex Sensor 2,Flex Sensor 3,Flex Sensor 4,Flex Sensor 5
37,41,88,74,31,2018-03-02 11:15:36.758
39,36,91,77,25,2018-03-02 11:15:36.858
37,37,93,79,27,2018-03-02 11:15:36.959
37,39,91,76,28,2018-03-02 11:15:37.58
35,32,90,74,24,2018-03-02 11:15:37.159
42,33,88,74,22,2018-03-02 11:15:37.258
41,39,91,69,22,2018-03-02 11:15:37.359
40,38,91,70,21,2018-03-02 11:15:37.458
40,36,87,72,25,2018-03-02 11:15:37.558
42,43,86,75,23,2018-03-02 11:15:37.659
43,43,90,76,25,2018-03-02 11:15:37.758
40,46,90,75,28,2018-03-02 11:15:37.859
41,49,89,71,25,2018-03-02 11:15:37.958
44,51,88,71,26,2018-03-02 11:15:38.59
43,53,88,69,27,2018-03-02 11:15:38.158
44,56,92,73,26,2018-03-02 11:15:38.258
38,55,97,70,24,2018-03-02 11:15:38.359
39,57,90,70,25,2018-03-02 11:15:38.459
40,53,83,68,29,2018-03-02 11:15:38.558
36,56,78,64,31,2018-03-02 11:15:38.659
30,56,74,57,34,2018-03-02 11:15:38.758
29,55,68,56,32,2018-03-02 11:15:38.859
27,52,72,52,35,2018-03-02 11:15:38.958
26,50,69,55,29,2018-03-02 11:15:39.58
28,48,70,51,23,2018-03-02 11:15:39.158
24,54,71,54,17,2018-03-02 11:15:39.259
21,52,71,54,10,2018-03-02 11:15:39.359
21,52,68,47,9,2018-03-02 11:15:39.458
28,55,71,47,13,2018-03-02 11:15:39.558
32,53,68,50,13,2018-03-02 11:15:39.658
30,54,66,53,16,2018-03-02 11:15:39.758
26,48,66,59,14,2018-03-02 11:15:39.859
31,47,66,62,15,2018-03-02 11:15:39.959
36,51,69,65,11,2018-03-02 11:15:40.58
